ClusterID,NumPixel,minSimilarity,AvgSimilarity, AvgR,AvgG,AvgB
1,445447,1.0000,1.0000,214,222,212
2,37,1.0000,1.0000,180,189,201
3,2563,1.0000,1.0000,180,189,201
4,37,1.0000,1.0000,151,164,179
5,7,1.0000,1.0000,132,147,166
6,12,1.0000,1.0000,113,79,57
7,37,1.0000,1.0000,132,147,166
8,1686,1.0000,1.0000,214,222,208
9,54736,0.9833,1.0000,251,236,208
10,37,1.0000,1.0000,255,255,255
11,37,1.0000,1.0000,251,236,208
12,37,1.0000,1.0000,250,214,197
13,37,1.0000,1.0000,186,126,118
14,37,1.0000,1.0000,153,217,234
15,28,1.0000,1.0000,0,0,0
16,4,1.0000,1.0000,77,109,208
17,37,1.0000,1.0000,0,183,239
18,62,1.0000,1.0000,77,109,243
19,109,1.0000,1.0000,255,255,255
20,6,1.0000,1.0000,251,236,243
21,6,1.0000,1.0000,77,183,243
22,37,1.0000,1.0000,77,109,243
23,11,1.0000,1.0000,0,183,239
24,11,0.9923,0.9977,77,183,240
25,4,1.0000,1.0000,153,217,239
26,45,1.0000,1.0000,251,163,177
27,2,1.0000,1.0000,251,222,208
28,75,1.0000,1.0000,255,163,177
29,6,1.0000,1.0000,251,222,208
30,37,1.0000,1.0000,255,163,177
31,40530,0.9620,1.0000,113,79,57
32,37,1.0000,1.0000,113,79,57
33,37,1.0000,1.0000,99,71,50
34,37,1.0000,1.0000,72,51,36
35,88,1.0000,1.0000,0,0,0
36,75,1.0000,1.0000,255,255,255
37,2,1.0000,1.0000,113,79,70
38,18,1.0000,1.0000,70,70,57
39,71,1.0000,1.0000,70,70,70
40,4,1.0000,1.0000,120,120,120
41,553,1.0000,1.0000,180,180,180
42,22218,1.0000,1.0000,255,255,255
43,201,1.0000,1.0000,214,222,208
44,2,1.0000,1.0000,251,236,212
45,28372,0.4116,0.9999,70,70,70
46,18,1.0000,1.0000,113,79,57
47,37,1.0000,1.0000,255,255,255
48,30,1.0000,1.0000,180,180,180
49,2313,0.1834,0.9996,113,79,57
50,60,1.0000,1.0000,0,0,0
51,37,1.0000,1.0000,220,220,220
52,37,1.0000,1.0000,180,180,180
53,37,1.0000,1.0000,70,70,70
54,37,1.0000,1.0000,59,59,59
55,4,1.0000,1.0000,186,180,180
56,4,1.0000,1.0000,180,180,180
57,123,1.0000,1.0000,214,222,208
58,1035,1.0000,1.0000,251,236,208
59,41,1.0000,1.0000,0,0,0
60,37,1.0000,1.0000,0,0,0
61,25,1.0000,1.0000,255,255,255
62,32,1.0000,1.0000,0,0,0
63,1466,0.9970,0.9997,214,177,136
64,37,1.0000,1.0000,215,177,136
65,37,1.0000,1.0000,207,162,112
66,37,1.0000,1.0000,196,139,77
67,153,1.0000,1.0000,214,222,208
68,1623,1.0000,1.0000,251,236,208
69,4,1.0000,1.0000,186,126,118
Sum,604736,0.1834,1.0000
