ClusterID,NumPixel,minSimilarity,AvgSimilarity, AvgR,AvgG,AvgB
1,2,1.0000,1.0000,91,150,184
2,2,1.0000,1.0000,90,150,185
3,3,1.0000,1.0000,89,150,185
4,6,0.9672,0.9880,87,149,184
5,6,0.9915,0.9968,84,146,176
6,4,1.0000,1.0000,83,145,178
7,4,1.0000,1.0000,81,145,178
8,9,0.9611,0.9898,80,144,176
9,4,1.0000,1.0000,80,145,179
10,6,1.0000,1.0000,80,146,180
11,2,1.0000,1.0000,78,143,177
12,5,0.9833,0.9929,77,140,173
13,30,0.9649,0.9935,75,138,173
14,15,0.9917,0.9976,74,138,174
15,3,0.9951,0.9976,74,134,170
16,43,0.9893,0.9976,75,135,168
17,6,0.9939,0.9965,76,137,169
18,9,0.9970,0.9996,73,134,165
19,15,0.9967,0.9985,71,134,166
20,8,0.9981,0.9997,70,133,167
21,19,0.9916,0.9970,68,131,166
22,2,0.9921,0.9921,69,132,166
23,33,0.9718,0.9956,70,131,165
24,2,1.0000,1.0000,70,123,151
25,2,1.0000,1.0000,69,123,151
26,5,0.9743,0.9921,68,128,156
27,60,0.9878,0.9965,64,128,160
28,5,1.0000,1.0000,66,128,162
29,174,0.9675,0.9981,64,124,159
30,1586,0.9633,0.9944,53,110,145
31,6,0.9982,0.9996,63,123,157
32,4,1.0000,1.0000,62,122,156
33,10,1.0000,1.0000,60,120,154
34,18,0.9975,0.9999,61,121,154
35,9,1.0000,1.0000,63,123,157
36,18,1.0000,1.0000,60,120,154
37,9,0.9972,0.9993,61,122,153
38,176,0.9763,0.9957,61,118,152
39,11,0.9870,0.9954,59,117,151
40,2,1.0000,1.0000,58,116,150
41,6,1.0000,1.0000,57,116,150
42,5,0.9908,0.9977,56,115,149
43,32,0.9912,0.9986,54,115,148
44,119,0.9648,0.9935,52,114,149
45,3,1.0000,1.0000,52,114,146
46,6,1.0000,1.0000,50,113,146
47,2,1.0000,1.0000,52,115,148
48,137,0.9762,0.9957,57,114,147
49,29,0.9842,0.9962,53,110,141
50,88,0.9745,0.9976,55,111,145
51,18,0.9872,0.9983,56,113,145
52,74,0.9852,0.9984,53,109,144
53,4,1.0000,1.0000,49,105,142
54,6,1.0000,1.0000,48,104,141
55,39,1.0000,1.0000,51,107,144
56,34,1.0000,1.0000,53,109,146
57,36,1.0000,1.0000,52,108,145
58,9,1.0000,1.0000,51,107,144
59,5,1.0000,1.0000,56,111,146
60,3,1.0000,1.0000,56,111,143
61,4,0.9687,0.9794,92,148,180
62,2,0.9935,0.9935,53,107,142
63,5,0.9703,0.9875,86,146,177
64,7,0.9617,0.9936,54,106,145
65,86,0.9798,0.9935,46,104,139
66,6,1.0000,1.0000,45,100,133
67,2779,0.9697,0.9946,51,108,143
68,6,0.9948,0.9990,44,103,135
69,58,0.9970,0.9998,46,106,141
70,6,1.0000,1.0000,44,104,140
71,6,1.0000,1.0000,42,102,138
72,2,1.0000,1.0000,45,105,141
73,24,1.0000,1.0000,47,107,143
74,14,0.9946,0.9984,43,101,139
75,2,1.0000,1.0000,46,101,142
76,4,0.9966,0.9989,46,105,138
77,2,1.0000,1.0000,48,105,138
78,50,0.9863,0.9976,48,108,143
79,4,0.9883,0.9961,49,106,141
80,16,0.9870,0.9959,47,108,141
81,11,0.9750,0.9874,88,147,179
82,2,1.0000,1.0000,86,147,179
83,2,1.0000,1.0000,84,145,175
84,3,1.0000,1.0000,83,145,177
85,2,1.0000,1.0000,83,145,178
86,4,0.9906,0.9969,78,141,172
87,19,0.9942,0.9993,72,134,167
88,12,0.9911,0.9971,75,129,160
89,12,0.9938,0.9971,65,126,160
90,7,1.0000,1.0000,56,109,140
91,6,1.0000,1.0000,53,109,146
92,33,1.0000,1.0000,48,108,144
93,5,1.0000,1.0000,51,109,143
94,2,1.0000,1.0000,91,148,181
95,9,0.9822,0.9930,84,145,176
96,8,0.9968,0.9980,74,134,165
97,8,0.9902,0.9964,84,145,174
98,73,0.9452,0.9939,82,143,174
99,30,0.9697,0.9944,76,136,170
100,2,0.9936,0.9936,65,129,159
101,45,0.9956,0.9996,56,113,149
102,5,1.0000,1.0000,54,110,144
103,2,1.0000,1.0000,55,111,147
104,22,0.9935,0.9986,56,112,148
105,8,1.0000,1.0000,54,110,147
106,9,1.0000,1.0000,44,104,141
107,17,1.0000,1.0000,45,105,141
108,4,1.0000,1.0000,93,148,179
109,2,0.9648,0.9648,90,147,179
110,2,1.0000,1.0000,90,146,176
111,81,0.9674,0.9918,85,146,175
112,23,0.9811,0.9907,81,145,177
113,3,0.9859,0.9930,78,137,169
114,4,0.9902,0.9950,76,136,168
115,4,0.9942,0.9981,73,130,163
116,21,0.9932,0.9981,67,126,160
117,402,0.9190,0.9944,60,118,151
118,2,1.0000,1.0000,93,147,179
119,9,0.9922,0.9990,90,145,175
120,41,0.9940,0.9981,70,133,168
121,5,0.9956,0.9975,66,130,164
