ClusterID,NumPixel,AvgSimilarity, AvgR,AvgG,AvgB
1,6986,0.9871,38,47,26
2,97,0.9834,82,92,82
3,2,0.9876,93,99,90
4,7,1.0000,96,101,93
5,4,1.0000,86,91,87
6,4,1.0000,67,74,84
7,6,0.9778,15,31,23
8,5,0.9819,21,33,27
9,3,1.0000,11,20,15
12,5,0.5000,85,92,61
13,4,0.9869,86,93,60
14,3,0.9904,85,93,55
15,4,0.9949,79,88,46
16,9,0.4942,83,85,55
17,2,0.9651,88,88,55
19,4,0.6667,92,101,73
20,2,1.0000,95,104,73
21,3,1.0000,91,101,67
22,2,1.0000,96,106,70
24,0,0.0000,0,0,0
25,5,0.0000,88,99,61
28,9,0.7362,83,89,47
31,4,0.6522,84,92,35
35,3,1.0000,100,108,84
36,2,1.0000,103,112,85
37,3,1.0000,97,106,76
38,3,0.5000,103,113,80
41,3,0.0000,99,109,76
44,11,0.9735,86,93,49
45,3,0.9898,92,98,42
46,2,0.9692,89,94,40
47,8,0.9934,82,91,38
49,5,0.4820,91,93,69
53,2,0.0000,107,113,92
54,5,0.7500,114,123,104
56,3,1.0000,107,117,93
57,5,0.2500,112,123,95
62,7,0.6523,93,103,73
65,3,0.0000,94,103,58
67,13,0.9775,95,99,46
68,19,0.9909,87,93,44
69,3,0.9695,71,80,55
70,4,0.9863,76,82,58
73,2,0.9749,94,100,83
79,0,0.0000,0,0,0
80,7,0.4954,134,144,129
82,3,1.0000,127,138,121
83,5,0.4920,131,143,122
87,0,0.0000,0,0,0
88,8,0.1429,111,123,101
96,0,0.0000,0,0,0
97,1,0.0000,103,106,59
98,19,0.9880,92,96,49
102,4,0.6639,85,93,72
103,2,0.0000,89,95,77
104,6,0.0000,105,110,96
105,0,0.0000,0,0,0
106,0,0.0000,0,0,0
107,0,0.0000,0,0,0
110,10,0.8731,148,159,150
111,3,0.5000,150,162,150
114,3,0.0000,139,151,137
117,5,0.2453,122,135,120
121,3,0.0000,108,119,90
122,2,0.0000,104,114,80
123,2,0.0000,104,113,75
124,3,0.0000,104,111,68
127,4,0.0000,99,104,54
128,4,0.9903,101,100,50
129,2,1.0000,102,105,50
130,14,0.9856,98,100,55
131,2,0.9836,86,87,54
132,3,0.9906,57,74,53
133,6,0.7867,65,81,61
135,0,0.0000,0,0,0
136,2,0.9695,84,97,77
137,2,0.9875,94,106,87
139,2,1.0000,109,120,105
140,2,0.9664,105,115,105
142,2,0.0000,116,126,118
143,3,0.0000,124,131,120
144,2,0.0000,139,146,140
147,4,0.3333,169,180,179
149,6,0.5935,156,168,165
151,3,0.9909,169,181,176
153,4,0.3278,155,168,161
156,5,0.2416,138,154,144
163,2,0.0000,111,119,87
167,0,0.0000,0,0,0
168,10,0.7686,107,107,57
169,2,1.0000,106,105,57
170,6,0.9935,103,101,60
171,4,0.3291,70,87,68
173,3,0.0000,77,88,67
174,3,0.0000,106,118,102
176,4,0.3333,134,146,136
177,2,1.0000,129,140,133
179,3,0.0000,141,151,150
181,2,0.0000,157,166,166
183,3,0.9944,185,195,197
185,5,0.7500,168,179,181
187,3,0.9837,188,200,200
189,9,0.7377,167,182,181
190,2,0.9845,154,173,168
193,0,0.0000,0,0,0
194,0,0.0000,0,0,0
195,4,0.0000,125,138,118
197,2,0.0000,118,123,93
198,2,0.0000,112,117,78
199,2,0.0000,111,112,72
201,4,0.3223,112,110,65
203,9,0.9905,109,107,60
205,3,0.9795,83,101,85
207,5,0.0000,96,112,96
210,0,0.0000,0,0,0
213,5,0.7398,156,166,164
216,3,0.4943,177,187,192
217,22,0.9372,191,202,208
219,0,0.0000,0,0,0
220,2,0.0000,149,166,159
221,0,0.0000,0,0,0
222,5,0.4846,148,160,147
223,3,0.4855,145,151,133
227,0,0.0000,0,0,0
228,3,0.0000,117,116,79
230,3,0.4817,114,112,67
231,4,0.3333,116,113,66
234,3,0.9680,110,107,64
235,6,0.7931,113,110,71
236,6,0.9815,110,108,68
237,16,0.9846,106,103,67
238,2,0.9852,37,50,35
242,2,0.9855,110,126,114
244,3,0.0000,123,136,127
245,3,0.0000,122,134,122
247,3,0.4874,147,159,153
248,2,0.9844,158,170,167
249,6,0.5974,168,179,181
250,0,0.0000,0,0,0
251,26,0.9897,201,211,219
253,3,0.0000,170,190,191
256,3,0.4883,161,175,171
257,2,0.9670,162,172,162
258,2,0.0000,134,139,115
259,2,0.0000,125,128,100
261,0,0.0000,0,0,0
263,0,0.0000,0,0,0
264,6,0.5980,118,116,74
265,5,0.9756,116,112,72
266,2,1.0000,116,112,74
267,2,1.0000,84,100,89
271,5,0.2420,139,152,147
272,2,0.9779,175,186,185
273,6,0.9892,187,198,201
274,6030,0.9784,204,190,193
275,2,0.9723,194,213,219
277,0,0.0000,0,0,0
278,0,0.0000,0,0,0
279,5,0.2422,180,196,198
280,8,0.8370,179,191,186
284,2,0.0000,139,143,120
286,3,0.0000,123,125,92
288,3,0.4828,122,119,83
290,6,0.8000,121,117,79
291,2,0.9756,118,114,77
292,3,1.0000,44,56,48
293,2,1.0000,59,72,64
294,3,1.0000,96,109,104
295,3,0.5000,116,131,124
298,0,0.0000,0,0,0
299,2,0.9782,159,169,170
300,3,0.9771,169,179,179
301,3,0.9657,192,205,211
302,5,0.9928,189,199,201
303,3,0.9710,171,180,174
304,0,0.0000,0,0,0
308,3,0.0000,131,137,111
311,2,0.0000,126,123,88
312,2,0.9709,122,120,87
313,4,0.6615,120,118,84
314,9,0.7379,120,120,82
318,2,1.0000,75,88,82
319,3,1.0000,131,143,142
322,2,0.9722,171,179,184
323,3,0.4857,185,193,200
324,3,0.9824,192,202,205
325,4,0.0000,162,171,160
326,0,0.0000,0,0,0
327,3,0.0000,151,159,140
328,2,0.0000,141,148,126
330,0,0.0000,0,0,0
331,3,0.0000,129,129,100
334,0,0.0000,0,0,0
336,0,0.0000,0,0,0
337,2,0.0000,114,113,73
340,2,1.0000,68,79,75
341,3,0.5000,113,123,123
342,3,0.0000,148,162,160
345,2,0.9904,198,205,214
347,3,0.0000,158,167,152
351,0,0.0000,0,0,0
353,0,0.0000,0,0,0
355,0,0.0000,0,0,0
356,5,0.4826,122,122,88
357,2,0.9639,122,124,83
359,2,0.0000,118,119,78
360,0,0.0000,0,0,0
